locationId,locationType,name,regionId,year
656,WATERWAY,"Aberdeen Creek, VA",1,2017
293,WATERWAY,"Absecon Creek, NJ",1,2017
279,WATERWAY,"Absecon Inlet, NJ",1,2017
505,PORT,"Albany, NY",1,2017
718,PORT,"Alexandria, VA",1,2017
266,WATERWAY,"Alloway Creek, NJ",1,2017
882,WATERWAY,"Altamaha River, GA",1,2017
715,PORT,"Anacostia River, DC",1,2017
1295,WATERWAY,"Andrews River, MA",1,2017
727,PORT,"Annapolis, MD",1,2017
36,WATERWAY,"Annisquam River, MA",1,2017
668,WATERWAY,"Appomattox River, VA",1,2017
194,PORT,"Apponaug Cove, RI",1,2017
247,WATERWAY,"Appoquinimink River, DE",1,2017
456,WATERWAY,"Aquia Creek, VA",1,2017
860,WATERWAY,"Ashley River, SC",1,2017
785,PORT,"Atlantic Beach Channels, NC",1,2017
5600,WATERWAY,"Atlantic Intracoastal Waterway (Consolidated Report) between Norfolk, VA and the St. Johns River, FL",1,2017
5690,WATERWAY,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River , FL (Savannah District)",1,2017
5671,WATERWAY,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River FL (Norfolk District) via Great Bridge Lock Route",1,2017
5672,WATERWAY,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River FL Dismal Swamp and Pasquotank River",1,2017
5685,WATERWAY,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River, FL (Charleston District)",1,2017
5695,WATERWAY,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River, FL (Jacksonville District)",1,2017
5680,WATERWAY,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River, FL (Wilmington District)",1,2017
770,PORT,"Avon, NC",1,2017
491,PORT,"Back Creek, Anne Arundel County, MD",1,2017
842,WATERWAY,"Back Sound to Lookout Bight, NC, Channel",1,2017
2110,WATERWAY,"Bakers Haulover Inlet, FL",1,2017
700,PORT,"Baltimore, MD",1,2017
105,PORT,"Bar Harbor, ME",1,2017
284,WATERWAY,"Barnegat Inlet, NJ",1,2017
108,PORT,"Bass Harbor, ME",1,2017
